City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Jamestown,US,85.01,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
2,Hamilton,US,87.15,few clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
19,Hithadhoo,MV,81.16,overcast clouds,-0.6,73.0833,Scoop Guest House
21,Lufilufi,WS,87.58,scattered clouds,-13.8745,-171.5986,Leuaina Beach Resort and Spa
31,Vaini,TO,80.76,scattered clouds,-21.2,-175.2,Keleti Beach Resort
34,Raipur,IN,81.68,overcast clouds,21.2333,81.6333,Le Roi Raipur Hotel
37,Kapaa,US,83.19,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
47,Ixtapa,MX,85.23,overcast clouds,20.7,-105.2,hotel la terminal
54,Xuanhua,CN,80.46,broken clouds,40.6103,115.0447,Jinjiang Inn Zhangjiakou Xuanhua People's Park
59,Cookeville,US,82.8,clear sky,36.1628,-85.5016,La Quinta Inn & Suites by Wyndham Cookeville
65,Samarai,PG,81.27,broken clouds,-10.6167,150.6667,Nuli Sapi
70,Bethel,US,81.48,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
73,Acapulco,MX,84.45,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
80,Sabha,LY,86.97,clear sky,27.0377,14.4283,محطة ام الارانب -سبها مواصلات
89,Lorengau,PG,82.13,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
96,Gizo,SB,83.66,scattered clouds,-8.103,156.8419,Imagination Island
99,Palauig,PH,82.58,overcast clouds,15.435,119.9045,Villa Raphael Resort
116,Tarakan,ID,80.1,few clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
126,Wewak,PG,81.41,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
129,Pocone,BR,81.23,clear sky,-16.2567,-56.6228,Hotel e Churrascaria Pantaneira
135,Swift Current,CA,87.01,scattered clouds,50.2834,-107.8014,"Motel 6 Swift Current, SK"
136,Sedona,US,88.68,light rain,34.8697,-111.761,Amara Resort and Spa
140,Havelock,US,84.16,overcast clouds,34.8791,-76.9013,Sherwood Motel
152,Surt,LY,80.08,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
153,Tuntum,BR,81.0,broken clouds,-5.2581,-44.6489,Casa da Dona Maria Lúcia
154,Tulum,MX,82.67,clear sky,20.2167,-87.4667,Kin Ha Tulum
158,Madang,PG,83.98,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
160,Oistins,BB,81.52,overcast clouds,13.0667,-59.5333,Butterfly Beach Hotel
168,Muli,MV,80.76,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
170,Spring Hill,US,86.04,clear sky,28.4769,-82.5255,Millennium Suites Llc
177,Elizabeth City,US,87.82,clear sky,36.2946,-76.2511,Hampton Inn Elizabeth City
187,Nishihara,JP,87.46,scattered clouds,26.1842,127.7558,Minshuku Agaihama
190,Nara,JP,89.96,clear sky,34.6851,135.8049,Guesthouse Nara Komachi
191,Mahdasht,IR,86.22,broken clouds,35.7299,50.8111,Mahdasht
192,Yatou,CN,82.63,clear sky,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
193,Ibra,OM,85.82,scattered clouds,22.6906,58.5334,مزرعة راحة النفوس المنزفة
212,Hirara,JP,84.94,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
216,Santa Rosa,PH,84.09,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
218,Gerash,IR,87.55,clear sky,27.6652,54.1371,Sa'adat House Gerash
219,Kieta,PG,83.79,light rain,-6.2167,155.6333,Uruna Bay Retreat
222,Pacific Grove,US,80.87,scattered clouds,36.6177,-121.9166,Lovers Point Inn
225,Butaritari,KI,81.52,light rain,3.0707,172.7902,Isles Sunset Lodge
233,Mauganj,IN,82.74,overcast clouds,24.6833,81.8833,Hotel Shagun Palace & Marriage Garden
237,Hilo,US,82.26,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
248,Rosarito,MX,82.63,broken clouds,32.3333,-117.0333,Hotel Festival Plaza Rosarito
256,Dothan,US,86.2,clear sky,31.2232,-85.3905,Courtyard by Marriott Dothan
262,Roma,US,81.82,clear sky,43.2128,-75.4557,Wingate By Wyndham Rome
265,Rayong,TH,81.79,overcast clouds,12.8333,101.4333,Suan Palm Garden View Hotel
271,Santa Clara,CU,82.06,broken clouds,22.4,-79.9667,El Carmen
285,Pattani,TH,81.5,overcast clouds,6.75,100.4167,ผักปลอดสารพิษ
295,Chengde,CN,82.51,overcast clouds,40.9725,117.9361,Super 8 Hotel
298,Oranjestad,AW,80.69,overcast clouds,12.524,-70.027,Divi Village Golf & Beach Resort
309,Teacapan,MX,87.75,clear sky,22.55,-105.75,Hotel los Mangos
310,Pochutla,MX,85.82,broken clouds,15.7432,-96.4661,Hotel Posada San Jose
313,Kathu,TH,83.75,heavy intensity rain,7.9178,98.3332,Novotel Phuket Resort
318,Pozo Colorado,PY,83.82,overcast clouds,-23.4923,-58.7972,Hospedaje La Norteña
323,Port Moresby,PG,82.08,scattered clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
327,Lumby,CA,86.04,overcast clouds,50.2498,-118.969,Twin Creeks Motel
334,Cockburn Town,TC,82.26,few clouds,21.4612,-71.1419,Osprey Beach Hotel
335,Naze,JP,81.34,broken clouds,28.3667,129.4833,Shishime Hotel
338,Korla,CN,81.43,clear sky,41.7597,86.1469,Gulisitan Hotel
345,Shingu,JP,89.65,clear sky,33.7333,135.9833,Shingu UI Hotel
346,Bilma,NE,89.73,scattered clouds,18.6853,12.9164,Expeditions Ténére voyages
347,Awbari,LY,90.0,broken clouds,26.5921,12.7805,فندق أوباري
350,Victoria,HK,82.38,moderate rain,22.2855,114.1577,Mini Central
353,Lompoc,US,89.02,mist,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
360,Kushima,JP,86.04,scattered clouds,31.4583,131.2333,Hanaoka
361,Kahului,US,87.82,few clouds,20.8947,-156.47,Maui Seaside Hotel
371,Mayo,US,88.12,clear sky,38.8876,-76.5119,Resorts Resource Group International
376,Tabas,IR,85.57,clear sky,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
395,Plymouth,US,80.42,clear sky,41.8334,-70.8328,Rodeway Inn Middleboro-Plymouth
397,Hukay,PH,82.06,overcast clouds,13.8452,120.7029,Coral Bay Rest House
407,Corinto,GR,80.89,clear sky,37.9407,22.9573,Ephira Hotel
412,Yining,CN,85.23,clear sky,29.0361,114.5636,Xiushui Hotel
414,Gat,IL,84.4,clear sky,31.61,34.7642,OlusHome
417,Itaituba,BR,81.37,overcast clouds,-4.2761,-55.9836,Hotel Campos
431,Puerto Colombia,CO,80.69,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
437,Cheyenne,US,80.74,clear sky,41.14,-104.8203,The Historic Plains Hotel & Restaurant
447,Semnan,IR,82.6,scattered clouds,35.5729,53.3971,Semnan Tourist Hotel
454,Bahia Honda,CU,80.92,light rain,22.9036,-83.1592,Casa Gualberto - Deysi
457,Chabahar,IR,81.63,few clouds,25.2919,60.643,هتل گدروشیا
475,Basco,PH,84.13,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
480,Cranbrook,CA,85.44,scattered clouds,49.4999,-115.7688,Almo Court Motel
482,Beyneu,KZ,80.64,clear sky,45.3167,55.2,NUR
483,Utuado,PR,82.24,broken clouds,18.2655,-66.7004,Western Union
488,Tanggu,CN,85.96,broken clouds,39.0211,117.6469,Ibis Tianjin Tanggu Hotel
492,Mount Isa,AU,82.17,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
501,Kavieng,PG,83.12,light rain,-2.5744,150.7967,Nusa Island Retreat
505,Aswan,EG,89.73,clear sky,24.0934,32.907,Nuba Nile
506,Santo Tomas,PH,82.56,overcast clouds,14.1079,121.1414,Microtel by Wyndham Batangas
510,Harindanga,IN,81.84,overcast clouds,22.0383,88.3214,Hasanur Builders
517,Riva,US,88.29,clear sky,38.9521,-76.578,Hilton Garden Inn Annapolis
520,Zaragoza,ES,83.01,few clouds,41.6561,-0.8773,Hotel Goya
522,Gotsu,JP,83.41,few clouds,35.0,132.2167,Yurusato
524,North Fort Myers,US,80.01,moderate rain,26.6673,-81.8801,Best Western Fort Myers Waterfront
536,The Valley,AI,84.06,broken clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
539,Cody,US,89.91,clear sky,44.5263,-109.0565,"Holiday Inn Cody-at Buffalo Bill Village, an IHG Hotel"
556,Ugoofaaru,MV,80.71,overcast clouds,5.6667,73.0,Ungoofaaru Inn
559,Honiara,SB,86.56,clear sky,-9.4333,159.95,Heritage Park Hotel
566,San Andres,CO,84.22,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
572,Alugan,PH,82.24,overcast clouds,12.2188,125.4808,JM Lodge
577,Russell,US,85.96,clear sky,32.3502,-85.1999,Macs
581,Kuah,MY,80.58,light rain,6.3265,99.8432,Azio Hotel
584,Rameswaram,IN,80.96,overcast clouds,9.2833,79.3,Daiwik Hotels Rameswaram
585,Rawlins,US,84.09,clear sky,41.7911,-107.2387,"Holiday Inn Express Rawlins, an IHG Hotel"
588,Port Blair,IN,80.64,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
597,Morant Bay,JM,83.82,overcast clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
607,Wapi Pathum,TH,81.32,overcast clouds,15.8452,103.3768,Nayai Resort
611,Melchor De Mencos,GT,82.4,broken clouds,17.0686,-89.1522,Xultun Farm
613,Ozuluama,MX,84.81,clear sky,21.6667,-97.85,Hotel Posada De La Roma
617,Puerto Escondido,MX,84.97,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
624,Seoul,KR,85.39,broken clouds,37.5683,126.9778,LOTTE HOTEL SEOUL
629,Sola,VU,86.67,scattered clouds,-13.8833,167.55,Leumerus Bungalows
630,Tomigusuku,JP,87.93,scattered clouds,26.185,127.675,Hotel Gran View Okinawa
652,Kudahuvadhoo,MV,80.56,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
658,Palmer,US,83.01,few clouds,42.1584,-72.3287,Wedgewood Motel
660,Jiaojiang,CN,90.0,few clouds,28.6803,121.4428,Fangyuan Hotel
661,Portland,US,89.01,smoke,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
663,Sulangan,PH,82.09,heavy intensity rain,11.1373,123.7228,Maia's Beach Resort
664,Mazagao,BR,82.45,broken clouds,-0.115,-51.2894,Recanto dos Ferreiras
667,Cayenne,GF,82.09,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
680,Bathsheba,BB,82.06,broken clouds,13.2167,-59.5167,Atlantis Hotel
683,La Orilla,MX,85.46,scattered clouds,17.9833,-102.2333,Baymont by Wyndham Lazaro Cardenas
691,Mahibadhoo,MV,81.81,overcast clouds,3.7833,72.9667,Omadhoo Inn
692,Celestun,MX,82.71,clear sky,20.8667,-90.4,Posada Lilia
696,Wajima,JP,83.08,broken clouds,37.4,136.9,Wajiima Onsen Yashio
698,Kirksville,US,82.06,clear sky,40.1948,-92.5833,Budget Host-Village Inn
