City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Barrow,US,71.2906,-156.7887,56.25,61,88,17.16,overcast clouds
1,Tiksi,RU,71.6872,128.8694,45.88,69,92,1.25,overcast clouds
2,Sturgeon Bay,US,44.8342,-87.377,78.76,60,20,9.22,few clouds
3,Georgetown,MY,5.4112,100.3354,80.89,90,20,0.0,few clouds
4,Hithadhoo,MV,-0.6,73.0833,81.5,68,100,11.21,overcast clouds
5,Beloha,MG,-25.1667,45.05,69.89,63,76,5.08,broken clouds
6,Ribeira Grande,PT,38.5167,-28.7,75.6,94,75,2.3,broken clouds
7,Bethel,US,41.3712,-73.414,97.05,54,10,3.0,clear sky
8,Culaman,PH,5.9603,125.6586,79.9,78,100,2.3,overcast clouds
9,Carnarvon,AU,-24.8667,113.6333,60.69,57,58,15.17,broken clouds
10,Ushuaia,AR,-54.8,-68.3,44.26,57,20,2.3,few clouds
11,Hobart,AU,-42.8794,147.3294,45.27,85,40,0.0,scattered clouds
12,Aktau,KZ,43.65,51.2,79.38,40,0,11.34,clear sky
13,Vardo,NO,70.3705,31.1107,57.18,88,40,4.61,scattered clouds
14,Albany,US,42.6001,-73.9662,99.64,46,32,1.01,scattered clouds
15,Atuona,PF,-9.8,-139.0333,77.65,68,23,17.09,few clouds
16,Iqaluit,CA,63.7506,-68.5145,44.33,87,100,4.61,overcast clouds
17,Carutapera,BR,-1.195,-46.02,80.47,81,80,7.96,moderate rain
18,Grand Gaube,MU,-20.0064,57.6608,70.38,68,26,5.99,scattered clouds
19,San Patricio,US,28.017,-97.5169,99.32,41,15,20.54,few clouds
20,Matara,LK,5.9485,80.5353,78.1,82,100,16.02,overcast clouds
21,Punta Arenas,CL,-53.15,-70.9167,41.11,80,99,3.53,overcast clouds
22,Bredasdorp,ZA,-34.5322,20.0403,49.82,92,96,5.68,overcast clouds
23,Broken Hill,AU,-31.95,141.4333,48.27,55,0,10.36,clear sky
24,Miramar,US,25.9873,-80.2323,93.02,67,41,5.01,scattered clouds
25,Port Alfred,ZA,-33.5906,26.891,60.66,79,48,5.12,scattered clouds
26,Yellowknife,CA,62.456,-114.3525,63.12,45,75,10.36,broken clouds
27,Upernavik,GL,72.7868,-56.1549,44.17,71,100,7.94,overcast clouds
28,Phichit,TH,16.25,100.4167,76.69,91,100,2.86,overcast clouds
29,Perth,AU,-31.9333,115.8333,41.18,96,20,0.0,few clouds
30,Port Shepstone,ZA,-30.7414,30.455,64.92,86,24,7.65,few clouds
31,Cabo San Lucas,MX,22.8909,-109.9124,94.6,70,0,5.99,clear sky
32,Jati,PK,24.3539,68.2671,83.91,74,55,10.51,broken clouds
33,Avarua,CK,-21.2078,-159.775,75.25,78,40,19.57,scattered clouds
34,Bontang,ID,0.1333,117.5,76.24,92,100,8.43,overcast clouds
35,Maceio,BR,-9.6658,-35.7353,78.24,78,75,9.22,broken clouds
36,Tayga,RU,56.06,85.6197,49.12,65,100,6.08,overcast clouds
37,Port Elizabeth,ZA,-33.918,25.5701,53.89,87,0,4.61,clear sky
38,Xining,CN,36.6167,101.7667,59.38,92,16,2.53,few clouds
39,Kamenka,RU,51.3223,42.7678,70.03,62,100,7.07,overcast clouds
40,Nushki,PK,29.5542,66.0215,89.2,25,0,4.56,clear sky
41,Rocha,UY,-34.4833,-54.3333,51.03,90,100,16.51,light rain
42,Sisimiut,GL,66.9395,-53.6735,44.67,90,100,8.23,light rain
43,Puerto Ayora,EC,-0.7393,-90.3518,76.96,76,47,5.99,scattered clouds
44,Chuy,UY,-33.6971,-53.4616,52.99,95,100,15.86,moderate rain
45,Ozernovskiy,RU,51.5,156.5167,54.68,89,84,9.13,broken clouds
46,Conde,BR,-7.2597,-34.9075,80.06,74,40,14.97,scattered clouds
47,Mataura,NZ,-46.1927,168.8643,57.47,91,100,5.17,light rain
48,Thompson,CA,55.7435,-97.8558,66.36,39,75,4.61,broken clouds
49,Asfi,MA,32.2994,-9.2372,71.38,82,0,14.23,clear sky
50,Lithakia,GR,37.7167,20.8333,79.97,71,8,3.18,clear sky
51,Malmesbury,ZA,-33.4608,18.7271,50.77,89,98,2.19,overcast clouds
52,Inhambane,MZ,-23.865,35.3833,68.0,88,20,9.22,few clouds
53,Ciampea,ID,-6.5547,106.7008,78.49,100,56,3.56,broken clouds
54,Bucerias,MX,20.75,-105.3333,91.98,64,65,7.61,broken clouds
55,Hilo,US,19.7297,-155.09,86.29,75,0,5.99,clear sky
56,Jamestown,US,42.097,-79.2353,84.02,62,75,9.22,broken clouds
57,Mozarlandia,BR,-14.7447,-50.5706,93.65,17,1,5.64,clear sky
58,Cape Town,ZA,-33.9258,18.4232,55.9,85,20,9.22,few clouds
59,Kralendijk,BQ,12.15,-68.2667,81.0,83,100,19.95,overcast clouds
60,Vestmannaeyjar,IS,63.4427,-20.2734,56.39,58,0,14.97,clear sky
61,Sivas,TR,39.7916,37.0019,69.66,57,63,5.23,broken clouds
62,Vitim,RU,59.4511,112.5578,56.32,70,100,1.45,overcast clouds
63,Puerto Del Rosario,ES,28.5004,-13.8627,73.15,83,20,21.85,few clouds
64,Rikitea,PF,-23.1203,-134.9692,71.06,71,97,19.28,overcast clouds
65,Brae,GB,60.3964,-1.353,51.8,76,18,8.88,few clouds
66,Camacha,PT,33.0833,-16.3333,69.22,83,75,13.8,broken clouds
67,Poum,NC,-20.2333,164.0167,74.17,84,2,8.39,clear sky
68,Khatanga,RU,71.9667,102.5,53.02,74,89,5.84,overcast clouds
69,Korla,CN,41.7597,86.1469,82.72,32,1,2.39,clear sky
70,Bambous Virieux,MU,-20.3428,57.7575,70.21,73,40,14.97,scattered clouds
71,Mahebourg,MU,-20.4081,57.7,70.25,73,40,14.97,scattered clouds
72,Wajima,JP,37.4,136.9,77.14,88,31,2.73,scattered clouds
73,East London,ZA,-33.0153,27.9116,64.67,71,100,4.29,overcast clouds
74,Hasaki,JP,35.7333,140.8333,72.28,91,100,16.6,overcast clouds
75,Lebu,CL,-37.6167,-73.65,51.62,60,99,5.01,light rain
76,Sao Filipe,CV,14.8961,-24.4956,77.25,83,84,8.57,broken clouds
77,Lorengau,PG,-2.0226,147.2712,81.05,81,100,8.05,overcast clouds
78,Castro,BR,-24.7911,-50.0119,73.38,46,72,8.32,broken clouds
79,Vaini,TO,-21.2,-175.2,73.56,94,75,4.61,broken clouds
80,Maldonado,UY,-34.6667,-54.9167,48.22,89,100,17.11,overcast clouds
81,Krasnyy Chikoy,RU,50.3643,108.7512,55.63,94,57,1.83,broken clouds
82,Chapais,CA,49.7834,-74.8492,60.58,34,8,7.31,clear sky
83,Saldanha,ZA,-33.0117,17.9442,48.25,82,70,6.17,broken clouds
84,Bluff,NZ,-46.6,168.3333,57.79,69,100,20.29,overcast clouds
85,Fortuna,US,40.5982,-124.1573,75.92,72,20,12.66,few clouds
86,Airai,TL,-8.9266,125.4092,55.15,80,10,1.83,clear sky
87,Arraial Do Cabo,BR,-22.9661,-42.0278,78.76,73,0,12.66,clear sky
88,Butaritari,KI,3.0707,172.7902,81.39,76,100,10.56,overcast clouds
89,New Norfolk,AU,-42.7826,147.0587,44.92,67,43,2.73,scattered clouds
90,Ostrovnoy,RU,68.0531,39.5131,63.34,80,89,17.38,overcast clouds
91,Honolulu,US,21.3069,-157.8583,83.44,69,75,10.36,broken clouds
92,Geraldton,AU,-28.7667,114.6,48.61,93,75,6.91,broken clouds
93,Busselton,AU,-33.65,115.3333,51.64,75,100,5.61,overcast clouds
94,Solnechnyy,RU,50.7214,136.6319,57.67,98,20,2.93,few clouds
95,Kapaa,US,22.0752,-159.319,82.11,71,26,5.01,scattered clouds
96,Lucapa,AO,-8.4192,20.7447,73.8,26,4,2.95,clear sky
97,Cherskiy,RU,68.75,161.3,44.42,90,100,9.1,overcast clouds
98,Codrington,AU,-38.2667,141.9667,48.06,90,94,11.81,overcast clouds
99,Isangel,VU,-19.55,169.2667,75.16,86,1,4.7,clear sky
100,Mumford,GH,5.2618,-0.759,73.56,79,91,9.42,overcast clouds
101,Beyneu,KZ,45.3167,55.2,84.24,34,1,7.31,clear sky
102,Sorland,NO,67.667,12.6934,53.46,78,61,14.18,broken clouds
103,Provideniya,RU,64.3833,-173.3,53.02,82,100,6.55,overcast clouds
104,Husavik,IS,66.0449,-17.3389,46.54,83,90,9.4,overcast clouds
105,Clyde River,CA,70.4692,-68.5914,43.03,93,75,16.11,broken clouds
106,Harboore,DK,56.6175,8.1807,60.19,85,90,13.53,overcast clouds
107,Ponta Do Sol,PT,32.6667,-17.1,75.7,76,3,7.78,clear sky
108,Kidal,ML,18.4411,1.4078,99.99,11,23,9.17,few clouds
109,Coihaique,CL,-45.5752,-72.0662,43.41,52,20,8.05,few clouds
110,Chor,PK,25.5167,69.7667,89.22,60,88,14.41,moderate rain
111,Pangnirtung,CA,66.1451,-65.7125,45.52,84,98,4.23,overcast clouds
112,Saskylakh,RU,71.9167,114.0833,53.33,71,100,4.92,overcast clouds
113,Caravelas,BR,-17.7125,-39.2481,72.82,70,6,6.71,clear sky
