City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Itarema,BR,2022-08-03 05:02:02,-2.9248,-39.9167,77.76,78,8,14.79
1,Hami,CN,2022-08-03 05:02:02,42.8,93.45,86.41,32,2,1.97
2,Norman Wells,CA,2022-08-03 05:02:03,65.282,-126.8329,60.84,94,75,5.75
3,Kuito,AO,2022-08-03 05:02:04,-12.3833,16.9333,56.57,36,88,4.0
4,Hobart,AU,2022-08-03 04:57:10,-42.8794,147.3294,60.26,60,75,10.36
5,Tibati,CM,2022-08-03 05:02:04,6.4667,12.6333,64.8,98,98,1.39
6,Shangrao,CN,2022-08-03 05:02:05,28.4532,117.9686,97.59,44,6,3.29
7,Clyde River,CA,2022-08-03 05:02:05,70.4692,-68.5914,35.17,97,100,1.92
8,Ust-Tsilma,RU,2022-08-03 05:02:06,65.441,52.1498,72.41,47,100,9.42
9,Tiarei,PF,2022-08-03 05:02:06,-17.5333,-149.3333,80.01,75,6,24.72
10,Saldanha,ZA,2022-08-03 05:02:07,-33.0117,17.9442,54.91,89,9,6.55
11,Nchelenge,ZM,2022-08-03 05:02:07,-9.3451,28.734,60.73,63,4,8.19
12,Kavieng,PG,2022-08-03 05:02:08,-2.5744,150.7967,83.37,75,24,14.97
13,Punta Arenas,CL,2022-08-03 05:02:08,-53.15,-70.9167,40.48,82,99,4.63
14,Saskylakh,RU,2022-08-03 05:02:08,71.9167,114.0833,46.92,65,100,14.36
15,Kavaratti,IN,2022-08-03 05:02:09,10.5669,72.642,79.59,82,100,22.1
16,Ribeira Grande,PT,2022-08-03 05:02:09,38.5167,-28.7,74.97,87,73,14.34
17,Qaqortoq,GL,2022-08-03 05:02:10,60.7167,-46.0333,44.69,79,28,1.45
18,Kaka,TM,2022-08-03 05:02:10,37.3482,59.6143,94.89,19,1,11.48
19,Taga,RO,2022-08-03 05:02:11,46.95,24.05,63.32,58,13,1.72
20,Cape Town,ZA,2022-08-03 05:02:11,-33.9258,18.4232,57.38,87,9,1.01
21,Viesca,MX,2022-08-03 05:02:12,25.35,-102.8,88.54,28,66,8.16
22,Altay,CN,2022-08-03 05:02:13,47.8667,88.1167,79.92,30,3,8.08
23,Kawalu,ID,2022-08-03 05:02:13,-7.3817,108.2082,85.86,56,68,5.53
24,Kenora,CA,2022-08-03 04:59:23,49.8167,-94.4337,67.17,88,40,8.01
25,Dikson,RU,2022-08-03 05:02:14,73.5069,80.5464,45.25,86,100,16.8
26,Albany,US,2022-08-03 05:00:01,42.6001,-73.9662,67.89,87,0,4.74
27,Constitucion,CL,2022-08-03 05:00:57,-35.3333,-72.4167,46.11,70,0,5.44
28,Rikitea,PF,2022-08-03 05:02:15,-23.1203,-134.9692,72.45,71,65,19.46
29,Avarua,CK,2022-08-03 05:02:16,-21.2078,-159.775,75.25,53,100,9.22
30,Saint George,US,2022-08-03 04:57:44,37.1041,-113.5841,91.63,36,17,3.0
31,Torbay,CA,2022-08-03 05:00:53,47.6666,-52.7314,62.58,87,80,5.01
32,Te Anau,NZ,2022-08-03 05:02:17,-45.4167,167.7167,46.45,79,69,6.35
33,Jalu,LY,2022-08-03 05:02:18,29.0331,21.5482,79.12,52,0,10.0
